id,area,name,type,type2,summary,address,tel,payex,serviceTime,tw97x,tw97y,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area,FareInfo,EntranceCoord,totallargemotor,ChargingStation
1464-4,中正區,財團法人張榮發基金會地下停車場,2,,建物附設立體式小型車96格(含身心障礙停車位2格)。,,2351-6699#6022,計時：40元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,7時0分至22時0分,302375.51652,2770157.24574,96,0,0,0,,,,,,,,,{},{},,
1467-10,中正區,嘟嘟房光華商場站停車場,2,,大型車:0格，小型車:89格，機車:149格,市民大道3段8號地下1層,2655-0818,"計時：小型車60元/時，全程以半小時計費。計次:機車20元/次，隔日另計。月租:小型車全日6,000元/月、機車2,000元/月。",24小時,303644.04750,2770905.69528,91,152,0,0,,,,,,,,,{},{},,
1472-5,大安區,永康停車場,2,,大型車0格；小型車57格；機車0格,,02-8245-1877,"計時:平日60元/時、假日80元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。月租:全日10,000元/月、日間6,000元/月(08-20)、夜間5,000元/月(22-08)",24小時,303611.21097,2769580.67912,57,0,0,0,,,,,,,,,{},{},,
1480-6,中正區,中華電信仁愛場停車場,2,,建物附設立體式小型車133格(含身心障礙停車位6格，孕婦、育有6歲以下兒童停車位2格)。建物附設立體式機車500格(含身心障礙停車位11格)。,杭州南路1段24號B3、B4,02-2246-1708,"機車計次：20元/次，汽車計時：50元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全天6,000元/月。",24小時,302942.49171,2770039.52155,139,511,0,0,,,,,,,,,{},{},,
1482-9,文山區,永安藝文館停車場,2,,大型車:0格，小型車:58格，機車:0格,木新路2段156-1號1樓及地下1層,2939-3088,"季租：戶外平面12,000元/季，室內機械12,900元/季，室內平面15,000元/季。",24小時,307415.95830,2764168.75720,59,0,0,0,,,,,,,,,{},{},,
149-4,南港區,南港遠東智慧科學園區管理委員會停車場,2,,小型車25格(含身心障礙停車位1格)，大型車7格,南港路3段50巷1~33號,2788-5282,小型車60元/時(30分鐘內免費)，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計費。貨車2小時50元/時(1小時內免費)，20呎貨櫃車2小時內收100元(1小時內免費)，40呎貨櫃車2小時內收200元(1小時內免費)，停車2小時以上，未滿1小時以1小時計費,24小時,309690.29740,2771986.26060,26,0,0,7,,,,,,,,,{},{},,
1491-6,中正區,台北愛國西路停車場,2,,一般平面式小型車140格(含身心障礙停車位3格)。,,2504-6290分機85081,"一、計時：80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。二、月租：8,000元/月。",24小時,301371.23892,2769833.78632,140,0,0,0,,,,,,,,,{},{},,
1500-10,大安區,統一精工台大長興停車場,2,,建物附設立體式小型車151格(含身心障礙停車位3格，孕婦、育有六歲以下兒童停車位2格)。建物附設 立體式機車428格(含身心障礙停車位10格),基隆路3段75號地下2層,2655-0818,"計時：小型車100元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。 計次：機車50元/次，隔日隔次另計。 月租：小型車全日6,000元/月、機車全日500元。",24小時,305042.63671,2767846.75304,154,448,0,0,,,,,,,,,{},{},,
1508-11,大安區,Times浦城街,2,,一般平面式小型車9格(含身心障礙停車位1格)。,浦城街1號旁空地；龍泉段3小段360地號,0800-88-8924,計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,24小時,303281.30800,2768612.38600,10,0,0,0,,,,,,,,,{},{},,
1518,松山區,168停車聯盟-十九章場,2,,建物附設塔台式小型車38格(含身心障礙停車位1格)。,復興北路313巷42-1號,2754-6661#18,"計時：100元/時，全程以半小時計費。月租：10,000元/月。",24小時,305196.10738,2772399.00672,39,0,0,0,,,,,,,,,{},{},,
1521-3,中山區,台灣聯通長榮停車場,2,,大型車:0格，小型車:80格，機車:0格,松江路63號,2523-5000,80元/時。停車未滿1小時以1小時計；停車逾1小時以上者，未滿半小時以半小時計費。8000/全日；7000元/日間(8時到20時)；6000元/夜間(20時到8時)。,24小時,303807.47300,2771293.52490,82,0,0,0,,,,,,,,,{},{},,
1522-5,文山區,忠順超市停車塔,2,,大型車:0格，小型車:42格，機車:0格,忠順街2段22號,2938-1392,全日6000元/月，順興里里民全日月票4200元，忠順里、樟腳里里民全日月票4800元。,24小時,306834.97330,2764163.06820,43,0,0,0,,,,,,,,,{},{},,
1538-7,大安區,嘟嘟房大安全聯站停車場,2,,大型車:0格，小型車:10格，機車:0格,市民大道4段190號地下1樓,2655-0818,"計時：100元/時，全程以半小時計費。月租:8,000元/月",24小時,305927.71150,2770785.75800,11,0,0,0,,,,,,,,,{},{},,
1542,北投區,巧愛公寓地下室停車場,2,,大型車:0格，小型車:16格，機車:0格,文林北路80巷59弄2號、2-1號地下室,2596-1521,月租6500元,24小時,302397.07850,2777676.72070,17,0,0,0,,,,,,,,,{},{},,
1560-10,中正區,統一精工台大水源停車場,2,,建物附設立體式小型車488格(含身心障礙停車位12格，孕婦、育有六歲以下兒童停車位3格)。建物附設立體式機車1614格(含身心障礙停車位37格)。,思源街16號地下1、2層,2655-0818,"計時：小型車100元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。計次：機車50元/次。當日當次收費上限50元，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。計次：機車50元/次。月租：小型車全日6,000元/月、機車全日500元/月",24小時,303548.79001,2767464.72236,495,1706,0,0,,,,,,,,,{},{},,
1561-10,中山區,大同長春站,2,,大型車:0格，小型車:8格，機車:0格,長春段二小段583、584、584-1、585、586、587、587-1地號；長春路246號後方空地,0933723613,"計時:60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日6,000元/月，日間6,000元/月(09-18)，夜間4,000元/月(18-09)。",24小時,304317.79700,2771909.84240,9,0,0,0,,,,,,,,,{},{},,
1582-7,士林區,城市車旅士東國小停車場,2,,一般平面式小型車10格(含身心障礙停車位1格)。,三玉段三小段372地號； 中山北路6段424號,2655-0818,"一、計時：150元/時，全程以半小時計。二、月租：8,000元/月",24小時,303171.72530,2778468.76500,11,0,0,0,,,,,,,,,{},{},,
1583-7,大安區,168停車聯盟-杭州南(1)場停車場,2,,大型車0格；小型車3格；機車0格,,02-2754-6661#18,"計時:100元/時，全程以半小時計費。月租:8,000元/月。",24小時,302939.19667,2769594.42855,3,0,0,0,,,,,,,,,{},{},,
1584-7,大安區,168停車聯盟-杭州南場停車場,2,,大型車0格；小型車2格；機車0格,,02-2754-6661,"計時:100元/時，全程以半小時計費。月租:8,000元/月。",24小時,302950.75689,2769593.47813,2,0,0,0,,,,,,,,,{},{},,
1588-5,中正區,嘟嘟房仁愛新生1站停車場,2,,一般平面式小型車42格(含身心障礙停車位1格)。,,2655-0818,"計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：10,000元/月。",24小時,303642.52034,2770074.46649,42,0,0,0,,,,,,,,,{},{},,
1589-7,中正區,嘟嘟房仁愛新生2站停車場,2,,一般平面式小型車19格(含身心障礙停車位1格)。,臨沂段三小段37、37-1地號 仁愛路2段96號,2655-0818,"計時：160元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：10,000元/月",24小時,303683.38440,2770076.30940,20,0,0,0,,,,,,,,,{},{},,
1591-3,中山區,台灣聯通新生停車場,2,,大型車:0格，小型車:56格，機車:0格,新生北路2段68巷13號,2523-5000,"80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全天9,000元，日間8,000元（08~20），夜間7,000元（20~翌日08）",24小時,303100.70720,2772143.35750,57,0,0,0,,,,,,,,,{},{},,
16-8,中山區,亞都麗緻大飯店停車場,2,,大型車:0格，小型車:17格，機車:0格,民權東路2段41號,2597-1234#1704,100元/時，停車未滿1小時以1小時計，停車逾1小時以上者，未滿半小時以半小時計費,24小時,303471.28330,2772839.17470,18,0,0,0,,,,,,,,,{},{},,
1605-10,北投區,七星公園地下停車場,2,,大型車:0格，小型車:328格，機車:52格,七星街3號地下,2655-1516,小型車計時30元，全日月票3000元，日間月票2000元(7-20)，夜間月票1200元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日) 機車計次20元，月票300元,24小時,300634.67339,2780997.23529,334,55,0,0,,,,,,,,,{},{},,
1606,文山區,便利停車場萬盛站,2,,一般平面式小型車21格(含身心障礙停車位1格)。,興隆段三小段473、473-1地號 萬盛街146巷6號旁空地,2799-1001#168,"月租：全天3,500元/月。",24小時,304745.50340,2766464.62430,22,0,0,0,,,,,,,,,{},{},,
1607-5,中山區,格子房-行天宮站,2,,大型車:0格，小型車:42格，機車:0格,松江路371號B1,2786-3581,100元/時，停車逾1小時以上，未滿半小時以半小時計。8000元/月,24小時,303837.25570,2773084.54500,43,0,0,0,,,,,,,,,{},{},,
161,中正區,臺北市青少年發展處停車場,1,2,為立體停車場，計有277個小型車格,仁愛路1段17號地下3-4樓,2351-4078,"一、計時：30元/時，全程以半小時計費。二、月租：全日5,000元/月；日間(7時-19時)3,750元/月，提前或延後出場，以15元/時計費。",00:00:00~23:59:59,302700.865,2770203.11,137,0,0,0,2,5,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.03927', 'Ycod': '121.523', 'Address': ''}]}",,
1617-5,大安區,168停車聯盟-華視文教二場停車場,2,,大型車:0格，小型車:14格，機車:0格,光復南路116巷7號1樓(華視攝影大樓後方旁空地),2754-6661#18,"計時:100元/時停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租10,000元/月。",24小時,306077.51970,2770745.43350,15,0,0,0,,,,,,,,,{},{},,
1618-6,內湖區,叭叭房西湖站停車場,2,,大型車:0格，小型車:196格，機車:0格,西湖段四小段220地號 內湖路1段288巷口旁空地,2655-0000,100元/時；停車未滿1小時以1小時計，停車逾1小時以上，未滿半小時以半小時計。當日計次:500元/次。月租：12000元/月,24小時,307304.50190,2774961.31110,197,0,0,0,,,,,,,,,{},{},,
1629-9,中山區,宏達經營管理顧問有限公司農安停車場,2,,大型車:0格，小型車:77格，機車:0格,農安街6號B2-B6,0933-807-293,80元/時，停車未滿小時以1小時計。逾1小時以上，未滿半小時以半小時計。月租：全日6000元/月,24小時,302786.59380,2773056.85920,78,0,0,0,,,,,,,,,{},{},,
1638-8,中正區,TIMES杭州南路,2,,大型車:0格，小型車:11格，機車:0格,中正段一小段69地號 杭州南路1段71巷12號旁空地,2504-6098,100元/時，停車逾1小時以上者，未滿半小時以半小時計費。,24小時,303046.65000,2770070.88600,12,0,0,0,,,,,,,,,{},{},,
1641-4,信義區,愛馬屋世貿場,2,,大型車:0格，小型車:58格，機車:0格,信義區光復南路567號,2345-7627,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。全天10000元/月,24小時,306276.79280,2769300.86290,59,0,0,0,,,,,,,,,{},{},,
1645-6,大安區,168停車聯盟-師大場,2,,大型車0格；小型車66格；機車0格,,02-2754-6661#18,"計時:120元/時，全程以半小時計費。月租:12,000元/月。",24小時,303185.62873,2768406.60488,66,0,0,0,,,,,,,,,{},{},,
165,南港區,玉成公園地下停車場,1,1,立體式小型車412格(含身心障礙停車位9格)。立體式機車84格(含身心障礙停車位3格)。,成福路118號地下1、2層,2651-7459,小型車計時20元，全日月票4800元，夜間月票2400元(限周一至周五每日19-8及周六、日與行政機關放假之紀念日、民俗日使用) 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,00:00:00~23:59:59,309233.358,2770571.83,412,83,0,0,10,9,0,0,0,0,0,0,"{'WorkingDay': [{'Period': '00~24', 'Fare': '20'}], 'Holiday': [{'Period': '00~24', 'Fare': '20'}]}","{'EntrancecoordInfo': [{'Xcod': '25.04223251', 'Ycod': '121.5871621', 'Address': '成福路'}, {'Xcod': '25.04167804', 'Ycod': '121.5868409', 'Address': '成福路178巷'}]}",0,4
1658-7,內湖區,天成車業服務股份有限公司瑞二停車場,2,,大型車0格；小型車48格；機車0格,,0932-237-171,"計時：100元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。月租：8,000元/月。",24小時,308129.98213,2773772.20251,48,0,0,0,,,,,,,,,{},{},,
1659-5,大安區,好庭車金華停車場,2,,大型車:0格，小型車:87格，機車:0格,大安區金華段四小段211地號 杭州南路2段與金華街交會口,0916064543,汽車計時:60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。汽車月租:6000元/月。機車免費,24小時,302755.65094,2769268.31346,89,1,0,0,,,,,,,,,{},{},,
1660-2,大安區,兆竤智聯AIOT智能停車場,2,,大型車0格；小型車41格；機車0格,,02-77111064,"月租:6,500元/月。",24小時,305215.51169,2768402.43577,41,0,0,0,,,,,,,,,{},{},,
1662-5,松山區,Times松山運動中心,2,,立體式小型車57格(含身心障礙停車位2格)。,松山區敦化北路1號(松山運動中心地下1樓),0800-88-8924,"計時：40元/時，全程以半小時計費。月租：10,000元/月。",24小時,305520.38580,2771300.21940,59,0,0,0,,,,,,,,,{},{},,
1670-16,信義區,歐特儀股份有限公司國立國父紀念館停車場,2,,建物附設一般平面式小型車114格(含身心障礙停車位3格，孕婦、育有六歲以下兒童停車位3格)。,,2705-7716,計時：40元/時，未滿10分鐘不予收費，全程以半小時計費。月租:500元/月,24小時，1/27-2/20暫停營業,306353.73793,2770229.30889,114,0,0,0,,,,,,,,,{},{},,
1674-4,大安區,臺北市大安區仁愛國民小學停車場,2,,大型車:0格，小型車:21格，機車:0格,安和路1段60號,2709-5010#401,"季票：6,000元/季，本校現職、退休人員給予8折優惠。計次：50元/次(以4小時為1收費單位，限團體辦理活動當日借用本校場地停車使用)",夜間:週一至週五晚上7時至翌日上午7時。假日:週六至週一上午7時；國定假日自前1日晚上7時至假期結束翌日上午7時。,305730.11480,2769847.25000,22,0,0,0,,,,,,,,,{},{},,
1676-8,信義區,雅祥公園地下停車場,2,,大型車:0格，小型車:204格，機車:格,松隆路123巷7號地下,2766-1258,周一至周四計時40元 周五至周日及政府行政機關放假之紀念日與民俗日計時50元 全日月票4800元，夜間月票2000元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日使用),24小時,307703.05990,2771154.51690,209,0,0,0,,,,,,,,,{},{},,
1681-6,中山區,嘟嘟房建國南京站停車場,2,,立體式小型車110格(含身心障礙停車位2格)。,,2655-0818,80元/時。月租:8000元/月,24小時,304215.36000,2771725.23186,110,0,0,0,,,,,,,,,{},{},,
1683-7,信義區,詮營信義101停車場,2,,一般平面式小型車83格[含身心障礙停車位2格]。一般平面式機車41格[含身心障礙停車位1格]。,信義段五小段29-2地號 信義路5段101大樓對面空地,2793-5818,"自112年1月11日起至112年2月22日止暫停營業；計時：小型車90元/時，停車未滿1小時以1小時計；逾1小時以上者，未滿半小時以半小時計。月租：小型車8,000元/月。計次：機車50元/次（隔日另計）。",24小時,306996.63960,2769504.30080,85,42,0,0,,,,,,,,,{},{},,
1687-4,大同區,臺北市大同運動中心地下停車場,2,,大型車:0格，小型車:46格，機車:0格,大龍街51號B3,2592-0055,計時:日間40元/時(06-22)，夜間20元/時(22-06)，全程以半小時計費,24小時,302079.47400,2773052.65700,48,0,0,0,,,,,,,,,{},{},,
17-5,大安區,明曜百貨停車場,2,,大型車:0格，小型車:64格，機車:0格,忠孝東路4段200號B2、B3,2777-1266#271,100元/時，停車未滿1小時以1小時計，逾1小時以上未滿半小時以半小時計費。,9時至22時,305707.41340,2770457.68890,65,0,0,0,,,,,,,,,{},{},,
170,北投區,中壽北投站停車場,2,,建物附設立體式小型車291格(含身心障礙停車位6格)。,北投路2段9、11號B3~B5,2246-1708#15,"臨停每小時100元，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。月租：全日8,000元。",24小時,300295.07410,2780325.12030,297,0,0,0,,,,,,,,,{},{},,
1701-6,內湖區,嘟嘟房內湖堤頂2站停車場,2,,大型車:0格，小型車:61格，機車:172格,堤頂大道2段293號B1、B3,2655-0818,汽車：100元/時，機車：100元/次，停車逾1小時以上者，未滿半小時以半小時計費。月租:小型車5000元/月，機車1000元/月,24小時,307033.63080,2774622.39030,63,176,0,0,,,,,,,,,{},{},,
1705-11,中山區,嘟嘟房松江2站停車場,2,,大型車:0格，小型車:47格，機車:0格,松江路170巷12號B2,2655-0818,"120元/時，停車未滿1小時以1小時計費，停車逾1小時以上者，未滿半小時以半小時計費。月租：全日12,000元/月",24小時,303695.68730,2772071.14210,48,0,0,0,,,,,,,,,{},{},,
1719-6,大安區,北歐停車場,2,,大型車:0格，小型車:22格，機車:0格,仁愛路4段230、232號B1,2709-1667,60元/時，停車未滿1小時以1小時計，停車逾1小時以上者，未滿半小時以半小時計費,8時0分至23時0分,305721.69380,2770039.53850,23,0,0,0,,,,,,,,,{},{},,
1724-5,大安區,臺北市大安運動中心停車場,2,,大型車:0格，小型車:52格，機車:0格,辛亥路3段55號B2,2377-300,30元/時，全程以半小時計費。,24小時,305125.10640,2768161.10350,54,0,0,0,,,,,,,,,{},{},,
173,內湖區,文德站轉乘停車場,1,2,為塔台停車場，計有306個小型車,文德路216號,2246-1708,"計時：30元/時(06-22)，10元/時(22-06)，全程以半小時計費。月租：全日月票:3,500/月。",00:00:00~23:59:59,308957.817,2774578.38,306,0,0,0,0,6,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.07849', 'Ycod': '121.58496', 'Address': ''}]}",0,0
174,南港區,內湖機廠轉乘停車場,1,2,為立體停車場，計有302格小型車，160個機車,經貿一路265號3-5F,2246-1708#12,"計次：小型車100元/次，機車20元/次，隔日隔次另計，以凌晨2時為基準。月租：小型車全日1,800元/月，機車全日300元/月。",00:00:00~23:59:59,312402.927,2772678.03,314,106,0,0,0,12,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.061445', 'Ycod': '121.617807', 'Address': ''}]}",,
1746-8,萬華區,環南停車場,2,,大型車0格；小型車164格；機車0格,,02-87526082,"計時:30元/時，全程以半小時計費。月租:6,500元/月。",24小時,299385.10263,2769232.12841,164,0,0,0,,,,,,,,,{},{},,
1751,大同區,168停車聯盟-永樂市場停車場,2,,大型車:0格，小型車:63格，機車:0格,迪化街1段21號地下1層,2754-6661#18,60元/時，全程以半小時計。月租:全日7200元/月,24小時,301511.30926,2771961.05713,64,0,0,0,,,,,,,,,{},{},,
1752,北投區,嘟嘟房北投榮華站停車場,2,,一般平面式小型車45格[含身心障礙停車位1格]。,振興段一小段261地號 榮華三路24巷旁空地,2655-0818,"計時：60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：8,000元/月。",24小時,302813.13650,2778457.88980,45,0,0,0,,,,,,,,,{},{},,
1759-5,萬華區,新糖廍公園地下停車場,2,,大型車0格；小型車70格；機車0格,大理街160巷2號地下1層,02-89193669,"計時：20元，全程以半小時計費。月租4,800元/月。",24小時,299872.76041,2769585.44601,72,0,0,0,,,,,,,,,{},{},,
176,士林區,天母西側停車場,1,2,為立體停車場，計有226 個小車格，68個機車格,天母西路1號地下1~5樓,2876-5986,小型車:平日50元/時，假日60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。汽車全日6500元/月，日間3500元(07~19)/月，夜間3500元(18~09)/月。機車10元/時，當日當次最高收費上限20元(隔日另計)。,00:00:00~23:59:00,303401.064,2779016.55,226,1,0,0,0,4,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.11879', 'Ycod': '121.52975', 'Address': ''}]}",0,0
1764-6,中正區,國立臺灣大學水源校區臨時停車場,2,,大型車:0格，小型車:143格，機車:0格,福和段二小段267-2地號 思源街18號,3366-3366#16,40元/時，全程以半小時計。 月租:全日7000元/月，日間(7-18)5500元/月，夜間(18-8)3000元/月，一次繳納6個月以上，可享9折優惠，以享優惠除外,24小時,303484.31900,2767407.48810,146,0,0,0,,,,,,,,,{},{},,
1768-4,南港區,柏鼎經貿一停車場,2,,平面式小型車41格(含身心障礙停車位1格)。,,2752-3039,計時：平日(週一至週五)60元/時，假日80/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,24小時,312081.55641,2772632.04657,41,0,0,0,,,,,,,,,{},{},,
177,信義區,BELLAVITA寶麗廣場停車場,1,2,為立體地下停車場，計有168個小型車格，243個機車格。,松仁路28號地下1、2、4、5樓,8729-2828,小型車120元/時，機車60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,10:30:00~23:59:00,307307.711,2770298.38,172,4,0,0,0,4,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '0', 'Ycod': '0', 'Address': ''}]}",0,0
1772,大安區,吉拾停車場台大尊賢場,2,,建物附設立體式小型車24格(含身心障礙停車位1格)。,羅斯福路4段83號B1,8228-0188,"計時：50元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：4,500元/月。",24小時,304151.64160,2767344.54480,25,0,0,0,,,,,,,,,{},{},,
1778-1,中山區,明水三平面停車場,2,,一般平面式小型車24格(含身心障礙停車位1格)。,,0800-021-111,"計時：40元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全日4,000元/月。",24小時,305794.42806,2775306.19007,42,0,0,0,,,,,,,,,{},{},,
1784-7,萬華區,臺北市第一果菜批發市場堤外專屬停車場,2,,一般平面式小型車1695格(含身心障礙停車位44格)。一般平面式機車181格(含身心障礙停車位4格)。,青年段2小段1-1、736、736-1、737、738、740、741、742、745、746；華中橋,2307-7130#123,"計時：小型車20元/時，進場未逾15分鐘免費，全程以半小時計費，當日單次最高150元(隔日另計)。月租：小型車全日1,800元，市場承銷業者自用車及小型採購車全日1,800元，市場承銷業者小型採購車固定車位全日2,000元，理貨(分包車)3,500元/月，電動送貨車1,360元/月。機車：免費停車。",24小時,300314.84290,2767623.02280,1738,184,0,0,,,,,,,,,{},{},,
18-7,中山區,晶華酒店附設停車場,2,,大型車:0格，小型車:145格，機車:0格,中山北路2段39巷3號地下4層,2521-5000,100元/時，未滿1小時以1小時計，停車逾1小時以上者，未滿半小時以半小時計費,24小時,302894.43800,2771878.69860,149,0,0,0,,,,,,,,,{},{},,
181,松山區,臺北國際航空站第1號計時收費停車場,1,2,松山機場1號停車場,敦化北路340號之9,2547-2778,"計時：40元/時(08-21)，10元/時(21-08)，30分鐘內出場者免費，逾1小時以上者，未滿半小時以半小時計費。月租：非駐站4,000元/月，駐站2,400元/月。",00:00:00~23:59:00,305616.099,2772853.48,115,0,0,0,3,4,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.06238', 'Ycod': '121.55175', 'Address': ''}]}",,
181-9,士林區,新光天母傑仕堡停車場,2,,大型車0格；小型車187格；機車0格,,02-2246-1708,"計時:120元/時，全程以半小時計費。月租:全日8,000元/月。",24小時,303806.75391,2778781.10821,187,0,0,0,,,,,,,,,{},{},,
182,松山區,臺北國際航空站第2號計時收費停車場,1,2,松山機場2號停車場,敦化北路340號之9,8770-3426,計時：汽車40元/時(08-21)，10元/時(21-翌日08)，進場未滿30分鐘免費，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：汽車全日4000元/月(附近里民)，機車300元/月。機車計次20元/次(隔日另計)，進場未滿30分鐘免費。,00:00:00~23:59:00,305732.967,2772872.07,215,307,0,0,5,5,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.06238', 'Ycod': '121.55273', 'Address': ''}]}",0,0
1823,北投區,公館路平面停車場,2,,大型車:格，小型車:129格，機車:格,公館路、西安路口,2568-3773,計時30元，全日月票最高7200元,24小時,300712.85800,2779298.80520,132,0,0,0,,,,,,,,,{},{},,
1825-7,內湖區,嘟嘟房內湖堤頂3站停車場,2,,大型車0格；小型車191格；機車330格,,02-2655-0818,"計時:小型車50元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:小型車全日5,000元/月，機車全日500元/月",24小時,307466.30064,2774488.86027,191,330,0,0,,,,,,,,,{},{},,
1826-8,大同區,168停車聯盟-承德場,2,,大型車:0格，小型車:100格，機車:0格,"雙連段二小段26地號(部分面積1,357平方公尺) 民權西路102巷4弄25號旁空地",2754-6661#18,"100元/時，全程以半小時計費。月租10,000元/月",24小時,302129.47719,2772737.73102,102,0,0,0,,,,,,,,,{},{},,
1828,中山區,晟晁蕭邦停車場,2,,建物附設立體式小型車70格(含身心障礙停車位1格)。,,2778-0793#232,"計時：40元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：8,000元/月。",24小時,303442.99790,2771292.06530,70,0,0,0,,,,,,,,,{},{},,
183,松山區,臺北國際航空站第3號計時收費停車場,1,2,松山機場3號停車場,敦化北路340號之9,2547-2778,"計時：40元/時(08-21)，10元/時(21-08)，30分鐘內出場者免費，停車逾1小時以上者，未滿半小時以半小時計費。月租：非駐站4,000元/月，駐站2,400元/月。",00:00:00~23:59:00,305837.086,2772876.32,511,0,0,0,11,11,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '0', 'Ycod': '0', 'Address': ''}]}",,
1833-6,松山區,便利停車場萬國站,2,,大型車:0格，小型車:123格，機車:0格,敦化南路1段2號B1-B4,2799-1001,"臨停：80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：固定車位全日15,000元、不固定車位全日8,500元；日間(08-20)7,500元、夜間(18-09)6,000元。",24小時,305300.21110,2771200.19040,126,0,0,0,,,,,,,,,{},{},,
1837-6,內湖區,永豐停車場,2,,一般平面式小型車30格(含身心障礙停車位1格)。,,2754-6661#18,"計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：10,000元/月。",24小時,307757.78877,2774253.35807,30,0,0,0,,,,,,,,,{},{},,
1838,大同區,承德三停車場,2,,大型車:0格，小型車:18格，機車:0格,大龍段一小段301-6地號 承德路3段264號旁,2778-5756,"120元/小時,未滿1小時以1小時計,1小時以上未滿半小時以半小時計。",24小時,302355.37081,2774003.57467,19,0,0,0,,,,,,,,,{},{},,
184,士林區,國立台灣科學教育館地下停車場,1,2,為立體停車場，計有408個小型車格，200個機車格,士商路189號B2、B3,0938-200111,計時：小型車30元/時，停車未滿1小時以1小時計，停車逾1小時以上，未滿半小時以半小時計。月租：汽車4000元、機車500元/月。機車計次：機車20元/次(隔日另計),00:00:00~23:59:00,302107.667,2776436.19,469,4,0,0,11,12,0,0,0,0,0,0,{},"{'EntrancecoordInfo': [{'Xcod': '25.09635', 'Ycod': '121.51554', 'Address': ''}]}",,
1844-4,南港區,南港園區站,2,,大型車:0格，小型車:92格，機車:0格,園區街6號B2-B4,02-2778-2092,"計時：80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。計次：400元/次(隔日另計)。月租8,000元/月。",24小時,311917.24698,2772487.20449,94,0,0,0,,,,,,,,,{},{},,
1847-3,士林區,基河停車場,2,,一般平面式小型車10格(含身心障礙停車位1格)。,光華段二小段667地號 基河路251巷旁空地,2246-1708#15,"計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全日8,000元/月。",24小時,302679.50540,2776060.42801,11,0,0,0,,,,,,,,,{},{},,
